"Timestamp","1. What industry do you work in? ","2. What is your occupation? ","3. What country do you live in?","4. What country do you work in (if you work remotely)?","5. Who would you prefer to have your first interview with?","6. How much would you be prepared to pay to register in a recruitment system or web site?","7. During your job search, when would you be prepared to provide your personal information, such as name, surname, and contacts details?","8. Completing or updating your CV for job hunting:","9. Have you ever been asked to recommend someone for a job? ","10. Do you check vacancies elsewhere while being employed? ","11. What part of job search is the most irritating for you?"
"2021/05/31 10:57:09 pm GMT+10","IT fintech ","Product manager ","Australia ","Kazakhstan ","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;finding time to go through all these steps"
"2021/05/31 11:39:49 pm GMT+10","Automotive ","HRD ","Russia ","Russia ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","attending recruiter interviews"
"2021/06/01 12:32:30 am GMT+10","Aerospace engineering","R&D Director","Russia","Russia","hiring manager (team leader, head of project team etc.);director, head of department etc.","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy;I do not have a CV as I use my connections and get introduced to hiring managers directly","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 1:04:24 am GMT+10","Autoretail","CMO/CBDO","Russia","Russia / remotely","director, head of department etc.","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;completing a test tasks;not having any feedback from the employer or recruiter"
"2021/06/01 3:21:46 am GMT+10","Food tech","Product design ","Russia","Russia","director, head of department etc.","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","irritates me as I do not know to write it to stand out from other job applicants;I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","From time to time","writing a CV;passing a technical interview;completing a test tasks;attending recruiter interviews;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 5:07:07 am GMT+10","IT","Head of","Rus","US","recruitment agency representative;director, head of department etc.","$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","I would rather talk about myself in person than create a CV","yes, and I was even paid for that","yes always, I don't want to miss out on something interesting","not having any feedback from the employer or recruiter"
"2021/06/01 5:43:31 am GMT+10","Regenerative Agriculture consulting ","CFO","Netherlands ","Netherlands ","recruiter of hiring company","nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","passing a technical interview;finding time to go through all these steps;I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 5:46:13 am GMT+10","Automotive","Vice President of Sales","Netherlands","Netherlands","CEO","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","completing a test tasks;attending recruiter interviews;not having any feedback from the employer or recruiter"
"2021/06/01 6:00:32 am GMT+10","Services ","Commercial director","Russia","Russia","recruiter of hiring company","not more than $1-2","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that;I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","completing a test tasks;attending recruiter interviews;finding too many irrelevant positions;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/06/01 6:14:41 am GMT+10","Fmcg","Procurement","The Netherlands","The Netherlands","recruitment agency representative","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","completing a test tasks"
"2021/06/01 6:33:12 am GMT+10","Electrical ","Project Manager","Australia","Australia","director, head of department etc.","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","irritates me as I do not know to write it to stand out from other job applicants;I would rather talk about myself in person than create a CV","yes, but I don't like to recommend people","yes always, I don't want to miss out on something interesting","finding time to go through all these steps;finding too many irrelevant positions"
"2021/06/01 7:33:18 am GMT+10","Education ","Teachers ","Australia","Australia","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming","no, never happened to me","yes, I love to follow new trends and technologies","finding time to go through all these steps"
"2021/06/01 11:06:29 am GMT+10","IT","UX/UI designer","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy","no, never happened to me","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","writing a CV;attending recruiter interviews;finding time to go through all these steps;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 12:41:29 pm GMT+10","it","devops","Au","Au","depends ","nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","attending recruiter interviews;finding time to go through all these steps;ending up in recruiters database and being chased later on"
"2021/06/01 2:26:51 pm GMT+10","It","Product manager","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it;I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that;I have a CV, but I do not like amending it for each vacancy","no, never happened to me;I would if I get paid for that","yes, I love to follow new trends and technologies","having to attend numerous interviews;attending recruiter interviews;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 7:38:48 pm GMT+10","Financial Services","Client Relationship Manager","United Kingdom","United Kingdom","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","not having any feedback from the employer or recruiter"
"2021/06/01 7:44:56 pm GMT+10","CPG | FMCG","Commercial Director","The Netherlands","USA","recruiter of hiring company","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","no, only when I am unemployed","completing a test tasks"
"2021/06/01 8:16:24 pm GMT+10","Insurance","Clerk","Australia","Australia","director, head of department etc.","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","passing a technical interview;not having any feedback from the employer or recruiter"
"2021/06/01 8:29:28 pm GMT+10","Automotive","Project manager sales operation","Netherlands ","Netherlands ","hiring manager (team leader, head of project team etc.)","$5-10;$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","completing a test tasks;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 8:30:29 pm GMT+10","Education management ","BD& Sales","NL","France, Belgium, Switzerland","recruitment agency representative;hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","irritates me as it's time consuming","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;having to attend numerous interviews"
"2021/06/01 8:43:21 pm GMT+10","Mobility","Account Manager","Netherlands","-","hiring manager (team leader, head of project team etc.);director, head of department etc.","$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it;I am prepared to provide my name only, as I would not like to join recruiter’s database","irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy;For experience, just skip resumes and just look at LinkedIn","Not often, but only when I find that person suitable.","yes always, I don't want to miss out on something interesting","having to attend numerous interviews;finding too many irrelevant positions"
"2021/06/01 8:49:49 pm GMT+10","IT","Technical support engineer","Russia","Russia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that;I would rather talk about myself in person than create a CV","I would if I get paid for that","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","having to attend numerous interviews;not having any feedback from the employer or recruiter;writing cover letter"
"2021/06/01 9:08:13 pm GMT+10","Banking","Management assistant ","Germany","Germany ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","no, only when I am unemployed","writing a CV;having to attend numerous interviews;passing a technical interview;completing a test tasks;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 10:00:31 pm GMT+10","Mechanical Engineering","Systems Engineer","UK","UK","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","I have a CV, but I do not like amending it for each vacancy;I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","attending recruiter interviews;finding too many irrelevant positions;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/06/01 10:06:59 pm GMT+10","Non-profit/ FMCG","Marketing Lead","Netherlands","Netherlands","recruitment agency representative;hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming;irritates me as I do not know to write it to stand out from other job applicants","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","having to attend numerous interviews;completing a test tasks;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 10:10:21 pm GMT+10","IT Recruitment","Talent Acquisition","Norway","Globally from Norway","recruitment agency representative;recruiter of hiring company","That would depend on what it is that I would be paying for. ","after I have already received detailed information about the project and know I am interested in it;And can be ensured confidentiality if I am already employed at the time. ","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","having to attend numerous interviews;finding time to go through all these steps;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/06/01 10:18:11 pm GMT+10","Medical Devices","FP&A","Ireland","Ireland","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","The issue I have is that recruiters do not fully comprehend either the job they're advertising or the candidate's competencies (they infer things that are not necessarily accurate) or both"
"2021/06/01 10:27:47 pm GMT+10","Logistics and transport ","Transportation planner","Netherlands ","Netherlands ","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates;not more than $1-2;$5-10","after I have already received detailed information about the project and know I am interested in it;I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that;irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","writing a CV;attending recruiter interviews;not having any feedback from the employer or recruiter;Writing cover and motivation letters and trying to make those outstanding"
"2021/06/01 10:44:22 pm GMT+10","Tech / Mobility","Head of Communications","Germany","Germany","recruiter of hiring company","$10 or more, depending on what I am getting for this money","I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 11:01:33 pm GMT+10","FMCG","Marketing intern ","Netherlands ","Netherlands ","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","no, never happened to me","no, I will if I start to look for new job","completing a test tasks;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 11:06:09 pm GMT+10","Shipping ","Chartering Manager ","Ukraine-China","Singapore","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","I have a CV, but I do not like amending it for each vacancy;I would rather talk about myself in person than create a CV","no, never happened to me","no, I will if I start to look for new job","writing a CV;completing a test tasks;I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 11:19:24 pm GMT+10","UAS","Manager","UK","UK/US","recruiter of hiring company;director, head of department etc.","$10 or more, depending on what I am getting for this money;Is this a recurring fee, if yes over what time pm, py?","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that;In my industry theres a small pool of people who are mostly known to each other word of mouth and referrals are common","oh yes, often and I do refer whomever I find suitable","If a headhunter reaches out i will look at the opportunity ","ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter;No clear timeline for the process with each company."
"2021/06/01 11:31:43 pm GMT+10","Talent","Talent Partner","England. ","England ","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy;I would rather talk about myself in person than create a CV;Linkedin","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;completing a test tasks"
"2021/06/02 4:57:41 am GMT+10","Automotive ","Recruiter","London","London ","hiring manager (team leader, head of project team etc.)","not more than $1-2","after I have already received detailed information about the project and know I am interested in it","I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/06/02 5:17:54 am GMT+10","Consulting","Manager ","Ukraine ","Ukraine ","recruiter of hiring company","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","finding time to go through all these steps"
"2021/06/02 5:37:24 am GMT+10","Automotive ","Business development ","NL","NL","hiring manager (team leader, head of project team etc.)","not more than $1-2","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","writing a CV;having to attend numerous interviews;completing a test tasks"
"2021/06/02 5:37:27 am GMT+10","Automotive","Supply Chain","NL","NL","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that;I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable;yes, and I was even paid for that","yes, I love to follow new trends and technologies","having to attend numerous interviews;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/02 5:42:06 am GMT+10","Automotive","Service Engineering Lead","UK","UK","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy;I would rather talk about myself in person than create a CV","Yes but I am picky about who I reccomend","yes always, I don't want to miss out on something interesting","writing a CV;passing a technical interview;ending up in recruiters database and being chased later on"
"2021/06/02 5:49:41 am GMT+10","Policy & Comms ","Senior Manager ","Netherlands ","Netherlands/Italy ","director, head of department etc.","$10 or more, depending on what I am getting for this money","I will provide my details once I receive an offer","irritates me as it's time consuming;I feel that CV does not reflect on my skills and experience, therefore I see no point in having one;I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","writing a CV;having to attend numerous interviews;completing a test tasks;attending recruiter interviews;finding time to go through all these steps;I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way"
"2021/06/02 5:54:33 am GMT+10","Finance","Project Manager","UK","UK","hiring manager (team leader, head of project team etc.)","Payment on success!!","Personal details at the start, but why would I share my contacts?","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","I keep a general, relatively passive watch on opportunities.","not having any feedback from the employer or recruiter"
"2021/06/02 6:19:39 am GMT+10","Regulatory","L&D Specialist","Netherlands","North Holland","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","I feel that CV does not reflect on my skills and experience, therefore I see no point in having one","Yes and would be happy to do so","yes always, I don't want to miss out on something interesting;I do but more out of curiousity","having to attend numerous interviews;passing a technical interview;completing a test tasks;attending recruiter interviews;finding time to go through all these steps"
"2021/06/02 10:15:00 am GMT+10","Hospitality ","Self employed ","Australia ","Australia ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I will provide my details once I receive an offer","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","attending recruiter interviews"
"2021/06/02 12:47:05 pm GMT+10","Dentistry","Dental Nurse","Australia","Australia","director, head of department etc.","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming;I would rather talk about myself in person than create a CV","yes, but I don't like to recommend people","yes always, I don't want to miss out on something interesting","writing a CV;completing a test tasks;attending recruiter interviews;ending up in recruiters database and being chased later on"
"2021/06/02 5:49:07 pm GMT+10","Production","Production Manager","Italy","Italy","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates;$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it;I will provide my details once I receive an offer","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","writing a CV;having to attend numerous interviews;not having any feedback from the employer or recruiter"
"2021/06/02 6:40:20 pm GMT+10","Logistics ","IT","Thailand ","Thailand ","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","having to attend numerous interviews;passing a technical interview;completing a test tasks;attending recruiter interviews;ending up in recruiters database and being chased later on"
"2021/06/02 7:23:02 pm GMT+10","IT and communications industry","a computer programmer","Australia","USA","director, head of department etc.","nothing, it must be free for candidates","I will provide my details once I receive an offer","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, only when I am unemployed","finding too many irrelevant positions"
"2021/06/02 7:29:43 pm GMT+10","IT","UX/UI Designer ","Australia ","Australia ","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","irritates me as I do not know to write it to stand out from other job applicants;I feel that CV does not reflect on my skills and experience, therefore I see no point in having one","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","finding time to go through all these steps"
"2021/06/02 7:33:51 pm GMT+10","Aged care","Care worker","Australia","Same","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","irritates me as it's time consuming","no, never happened to me","no, I will if I start to look for new job","finding too many irrelevant positions;not having any feedback from the employer or recruiter"
